ID;Nazwa;Ilosc Real;Ilosc Fakt;Roznica Fakt Norm
5007;Zestaw plac zabaw 805734;0;1;1
3830;Zestaw piracki 023785, 999409;13;14;1
4267;ZESTAW PIęKNOśCI Z BUCIKAMI;6;10;4
2789;ZESTAW PIĘKNOŚCI NO.924  /G075518/  BC          972570;0;0;0
5168;Zestaw piękności 993400;0;0;0
267;Zestaw piękności 511819;37;64;27
4250;Zestaw piękności 107082, 510706;30;80;50
1920;Zestaw piękności - różdżka 960063;0;5;5
4271;ZESTAW PIęKNOśCI;0;6;6
4268;ZESTAW PIęKNOśCI;0;0;0
4266;ZESTAW PIęKNOśCI;0;4;4
5668;Zestaw ogrodowy 454696;1;2;1
87;ZESTAW NOŻYCZKI+CĄŻKI  /PB1506/                 085063;24;20;-4
75496;Zestaw new baby z grzechotką różowy z kocykiem 100x75 048073;0;0;0
75497;Zestaw new baby z grzechotką miętowy z kocykiem 100x75 048073;0;1;1
3136;Zestaw narzędzi 900993;3;5;2
2333;ZESTAW NARZĘDZI  W PVC  /G060446/               958291;0;0;0
4028;Zestaw Narzędzi - Krzesełko /978886/;1;1;0
3183;Zestaw naczyń 963459;9;25;16
4339;Zestaw muzyczny 90126;0;56;56
3125;Zestaw muzyczny 871350;9;28;19
4482;Zestaw muzyczny 417215, 60427;56;68;12
4481;ZESTAW MUZYCZNY                                211496;0;20;20
211496;ZESTAW MUZYCZNY;0;0;0
1218;Zestaw mini koników 404158;12;20;8
2118;Zestaw militarny 995098;10;8;-2
5006;Zestaw łuk z karabinem;0;0;0
1167;ZESTAW LEKARZA W PUDEŁKU 304534;0;0;0
840;Zestaw lekarza /005169/;0;0;0
3761;ZESTAW LEKARZ W PUDEŁKU /GO44793/MPB69234       939368;0;0;0
4512;Zestaw lekarz 2 wz. 960650;6;11;5
5069;Zestaw lekarz 989049;0;11;11
4128;Zestaw lekarz 397539;0;3;3
4139;Zestaw lekarz 391414;0;0;0
5114;Zestaw lekarz  - walizka   302912;0;0;0
4071;Zestaw lekarski z polskim modułem dźwiękowym 145072;0;0;0
4073;Zestaw lekarski z polskim modułem dźwiękowym 138012;174;174;0
3942;ZESTAW LEKARSKI NA KARCIE  /G033164/923756;0;0;0
230;Zestaw lekarski na blistrze 993674;17;17;0
223;Zestaw lekarski na blistrze 409771;0;0;0
819;ZESTAW LEKARSKI /Q2719/129171/;0;0;0
2052;ZESTAW LEKARSKI /Q2718/129164/;0;0;0
5365;Zestaw lekarski /MPH59766x/597660;0;2;2
5098;Zestaw lekarski 942313;17;17;0
