Lp;Kod;Nazwa;Ilość;Wartość magazynowa;Wartość magazynowa 1;Ostatnia zakupu [netto];Ostatnia zakupu [netto] 1;Detal [netto] [PLN];Detal [netto] [PLN] 1;Detal [brutto] [PLN];Detal [brutto] [PLN] 1;% narzutu;Mag.;Chodliwość:Towar
96;01476;ZESTAW POLICYJNY /66592X/;0;0;PLN;2.17; PLN;3.02;PLN;3.71;PLN;39,17%;0;A
97;02683;Zestaw policyjny (pistolet z polskim modułem) 142354;0;0;PLN;14.99; PLN;21.29;PLN;26.19;PLN;42,03%;0;A
98;02671;Zestaw policyjny 993844;0;0;PLN;3.47; PLN;5;PLN;6.15;PLN;44,09%;8;A
99;04210;ZESTAW POLICYJNY 992618;0;0;PLN;2.91; PLN;4.27;PLN;5.25;PLN;46,74%;0;A
100;00800;Zestaw policyjny 963138;32;88;PLN;2.75; PLN;3.98;PLN;4.89;PLN;44,73%;8C;A
101;01701;Zestaw Policyjny 823318;53;403.86;PLN;7.62; PLN;10.82;PLN;13.31;PLN;41,99%;8A;D
102;03773;Zestaw policyjny 139422;0;0;PLN;25.07; PLN;35.6;PLN;43.79;PLN;42,00%;0;A
103;04563;Zestaw policyjny 014584;0;0;PLN;3.5; PLN;5.08;PLN;6.25;PLN;45,14%;2C;A
104;04488;ZESTAW POLICYJNY                           691316;0;0;PLN;5.24; PLN;7.18;PLN;8.83;PLN;37,02%;8;A
105;04460;ZESTAW POLICYJNY                                293005;0;0;PLN;2.4; PLN;3.24;PLN;3.99;PLN;35,00%;0;A
106;04325;ZESTAW POLICYJNY                                122509;38;206.34;PLN;5.43; PLN;7.34;PLN;9.03;PLN;35,17%;9B;A
107;14532;zestaw policyjny;0;0;PLN;11.05; PLN;14.03;PLN;17.26;PLN;26,97%;1;A
108;00974;Zestaw policjant 967815;0;0;PLN;2.41; PLN;3.49;PLN;4.29;PLN;44,81%;0;A
109;04005;Zestaw policja 654870;0;0;PLN;7.9; PLN;10.82;PLN;13.31;PLN;36,96%;4;A
110;01120;ZESTAW POLICJA 003984;0;0;PLN;7.05; PLN;9.66;PLN;11.88;PLN;37,02%;0;A
111;04152;Zestaw policja /431471/;8;52.8;PLN;6.6; PLN;9.24;PLN;11.37;PLN;40,00%;9A;A
112;00134;Zestaw policja 966832;30;106.8;PLN;3.56; PLN;5.11;PLN;6.29;PLN;43,54%;9F;D
113;02319;Zestaw Policja 927212;13;43.68;PLN;3.36; PLN;4.87;PLN;5.99;PLN;44,94%;7A;A
114;04578;Zestaw policja 691311;35;199.5;PLN;5.7; PLN;8.32;PLN;10.23;PLN;45,96%;8A;A
115;04384;ZESTAW POLICJA 68904;0;0;PLN;5.16; PLN;6.98;PLN;8.58;PLN;35,27%;0;A
116;05306;Zestaw Policja 0165320;0;0;PLN;5.62; PLN;8.11;PLN;9.97;PLN;44,31%;0;A
117;04156;Zestaw pojazdów 3 wz. 215597;0;0;PLN;17.4; PLN;24.36;PLN;29.96;PLN;40,00%;0;A
118;04202;Zestaw plac zabaw 946229, 814767;0;0;PLN;8.46; PLN;11.84;PLN;14.56;PLN;39,95%;9;A
119;05007;Zestaw plac zabaw 805734;0;0;PLN;4.96; PLN;7.07;PLN;8.69;PLN;42,54%;0;A
120;03830;Zestaw piracki 023785, 999409;13;198.82;PLN;14.84; PLN;21.91;PLN;26.95;PLN;47,64%;8C;D
121;14137;ZESTAW PIĘKNOŚCI+SUSZARKA B/O. /G030983/        905004;0;0;PLN;10.2; PLN;13.9;PLN;17.1;PLN;36,27%;1;D
122;620;ZESTAW PIĘKNOŚCI Z KLAPKAMI /G069593/           962700;0;0;PLN;4.69; PLN;6.67;PLN;8.21;PLN;42,22%;5;D
123;04267;ZESTAW PIęKNOśCI Z BUCIKAMI;6;56.28;PLN;9.38; PLN;12.68;PLN;15.6;PLN;35,18%;8C;A
124;02789;ZESTAW PIĘKNOŚCI NO.924  /G075518/  BC          972570;0;0;PLN;2.64; PLN;3.87;PLN;4.76;PLN;46,59%;0;A
125;05168;Zestaw piękności 993400;0;0;PLN;5.39; PLN;7.28;PLN;8.95;PLN;35,06%;0;A
126;00267;Zestaw piękności 511819;37;182.78;PLN;4.94; PLN;7.03;PLN;8.65;PLN;42,31%;8C;D
127;04250;Zestaw piękności 107082, 510706;30;269.1;PLN;8.97; PLN;12.76;PLN;15.69;PLN;42,25%;8C;A
128;01920;Zestaw piękności - różdżka 960063;0;0;PLN;7.99; PLN;11.35;PLN;13.96;PLN;42,05%;0;D
129;04271;ZESTAW PIęKNOśCI;0;0;PLN;2.62; PLN;3.54;PLN;4.35;PLN;35,11%;0/9;A
130;04268;ZESTAW PIęKNOśCI;0;0;PLN;14.19; PLN;19.18;PLN;23.59;PLN;35,17%;0;A
131;04266;ZESTAW PIęKNOśCI;0;0;PLN;1.19; PLN;1.61;PLN;1.98;PLN;35,29%;9C;A
132;05668;Zestaw ogrodowy 454696;1;22.28;PLN;22.28; PLN;31.64;PLN;38.92;PLN;42,01%;2D;A
133;00087;ZESTAW NOŻYCZKI+CĄŻKI  /PB1506/                 085063;24;82.32;PLN;3.43; PLN;3.99;PLN;4.91;PLN;16,33%;2B;A
134;75496;Zestaw new baby z grzechotką różowy z kocykiem 100x75 048073;0;0;PLN;23.03; PLN;30.72;PLN;37.79;PLN;33,39%;0;A
135;75497;Zestaw new baby z grzechotką miętowy z kocykiem 100x75 048073;0;0;PLN;23.03; PLN;30.72;PLN;37.79;PLN;33,39%;;A
136;03136;Zestaw narzędzi 900993;3;16.17;PLN;5.39; PLN;7.65;PLN;9.41;PLN;41,93%;7A;A
137;02333;ZESTAW NARZĘDZI  W PVC  /G060446/               958291;0;0;PLN;8.84; PLN;12.62;PLN;15.52;PLN;42,76%;0;A
138;04028;Zestaw Narzędzi - Krzesełko /978886/;1;23.21;PLN;23.21; PLN;32.96;PLN;40.54;PLN;42,01%;0;A
139;04476;ZESTAW NACZYń /94001/;0;0;PLN;7.73; PLN;10.98;PLN;13.51;PLN;42,04%;8;A
140;03183;Zestaw naczyń 963459;9;71.91;PLN;7.99; PLN;11.34;PLN;13.95;PLN;41,93%;8A;A
141;04339;Zestaw muzyczny 90126;0;0;PLN;3.59; PLN;5.24;PLN;6.45;PLN;45,96%;0;A
142;03125;Zestaw muzyczny 871350;9;52.38;PLN;5.82; PLN;8.38;PLN;10.31;PLN;43,99%;5A;D
143;04482;Zestaw muzyczny 417215, 60427;56;330.4;PLN;5.9; PLN;8.54;PLN;10.5;PLN;44,75%;9B;A
144;04481;ZESTAW MUZYCZNY                                211496;0;0;PLN;4; PLN;5.4;PLN;6.64;PLN;35,00%;0;A
145;211496;ZESTAW MUZYCZNY;0;0;PLN;4; PLN;5.4;PLN;6.64;PLN;35,00%;8;D
146;01218;Zestaw mini koników 404158;12;70.68;PLN;5.89; PLN;8.53;PLN;10.49;PLN;44,82%;2A;D
147;02118;Zestaw militarny 995098;10;91.4;PLN;9.14; PLN;12.98;PLN;15.97;PLN;42,01%;7C;A
148;05006;Zestaw łuk z karabinem;0;0;PLN;6.84; PLN;9.23;PLN;11.35;PLN;34,94%;4;A
149;01167;ZESTAW LEKARZA W PUDEŁKU 304534;0;0;PLN;9.23; PLN;12.46;PLN;15.33;PLN;34,99%;0;A
150;00840;Zestaw lekarza /005169/;0;0;PLN;2.15; PLN;3.12;PLN;3.84;PLN;45,12%;2 P;A
151;03761;ZESTAW LEKARZ W PUDEŁKU /GO44793/MPB69234       939368;0;0;PLN;4.34; PLN;6.67;PLN;8.21;PLN;53,69%;0;A
152;04512;Zestaw lekarz 2 wz. 960650;6;41.28;PLN;6.88; PLN;9.96;PLN;12.25;PLN;44,77%;8A;A
153;05069;Zestaw lekarz 989049;0;0;PLN;4.1; PLN;5.95;PLN;7.32;PLN;45,12%;2D;A
154;04128;Zestaw lekarz 397539;0;0;PLN;2.57; PLN;3.7;PLN;4.55;PLN;43,97%;0;D
155;04139;Zestaw lekarz 391414;0;0;PLN;2.16; PLN;3.09;PLN;3.8;PLN;43,06%;0;D
156;05114;Zestaw lekarz  - walizka   302912;0;0;PLN;8.99; PLN;12.14;PLN;14.93;PLN;35,04%;0;A
