Lp;Kod;Nazwa;Ilość;Wartość magazynowa;Wartość magazynowa 1;Ostatnia zakupu [netto];Ostatnia zakupu [netto] 1;Detal [netto] [PLN];Detal [netto] [PLN] 1;Detal [brutto] [PLN];Detal [brutto] [PLN] 1;% narzutu;Mag.;Chodliwość:Towar
612;00910;TIR z lawetą + 4 autka233575;44;241.56;PLN;5.49; PLN;7.79;PLN;9.58;PLN;41,89%;5B;A
613;01757;TIR LAWETA + 5 AUTEK /92793/NC                  992793;0;0;PLN;4.93; PLN;7.08;PLN;8.71;PLN;43,61%;7;A
614;01661;TIR Czerwony 49cm 300674;13;168.87;PLN;12.99; PLN;18.37;PLN;22.59;PLN;41,42%;5B;D
615;15649;TIR;2;54;PLN;27; PLN;35.1;PLN;43.17;PLN;30,00%;;A
616;00118;TERMOMETR DO KĄPIELI RYBKA /PB1716/              08500;24;79.92;PLN;3.33; PLN;3.91;PLN;4.81;PLN;17,42%;2B;A
617;04391;TELEFONIK NA BATERIE                            110212;0;0;PLN;2.49; PLN;3.38;PLN;4.16;PLN;35,74%;0;A
618;04417;TELEFON805970, 964876, 797022;8;33.52;PLN;4.19; PLN;6;PLN;7.38;PLN;43,20%;8A;A
619;00804;Telefon rozsuwany 398703;39;62.4;PLN;1.6; PLN;2.35;PLN;2.89;PLN;46,88%;8C;D
620;25235;Telefon P;0;0;PLN;3; PLN;4;PLN;4.92;PLN;33,33%;2D;A
621;04415;Telefon na baterie802443;2;4.58;PLN;2.29; PLN;3.24;PLN;3.99;PLN;41,48%;0;A
622;02099;Telefon na baterie z nagrywaniem 806298;52;433.16;PLN;8.33; PLN;12.84;PLN;15.79;PLN;54,14%;1E;A
623;04018;Telefon na baterie 815153;29;33.93;PLN;1.17; PLN;1.61;PLN;1.98;PLN;37,61%;5R;A
624;00213;Telefon na baterie 540253;0;0;PLN;1.28; PLN;1.83;PLN;2.25;PLN;42,97%;8C;D
625;05603;Telefon na baterie 434996;0;0;PLN;4.01; PLN;5.77;PLN;7.1;PLN;43,89%;8B;A
626;02709;Telefon na baterie 356243;0;0;PLN;1.79; PLN;2.56;PLN;3.15;PLN;43,02%;9;A
627;34239;TELEFON NA BATERIE;0;0;PLN;16; PLN;21.25;PLN;26.14;PLN;32,81%;1;A
628;25234;Telefon M;0;0;PLN;3; PLN;4;PLN;4.92;PLN;33,33%;2;A
629;00661;"TELEFON KOMÓRKOWY ""PRINCESS""  /D666905/         291481";0;0;PLN;1.37; PLN;1.95;PLN;2.4;PLN;42,34%;2;A
630;03902;TELEFON KOM.Z KORALIKAMI /TA7768/  2WZ.         000614;0;0;PLN;2.13; PLN;2.96;PLN;3.64;PLN;38,97%;0;A
631;00978;TELEFON KOM.T618 W PUD. /MPH35704/ 357042;0;0;PLN;1.42; PLN;1.97;PLN;2.42;PLN;38,73%;9;A
632;00976;TELEFON KOCIAK W WORKU /ZR700,701-1/            109377;0;0;PLN;4.02; PLN;5.45;PLN;6.7;PLN;35,57%;0;A
633;25236;Telefon F;0;0;PLN;2; PLN;4.3;PLN;5.29;PLN;115,00%;2;A
634;05546;Telefon dla malucha 103171;0;0;PLN;9.33; PLN;13.25;PLN;16.3;PLN;42,02%;1D;A
635;02715;Telefon dla dziewczynkiMPJ05322, 398697;0;0;PLN;1.52; PLN;2.19;PLN;2.69;PLN;44,08%;2C;A
636;14485;TELEFON BLISTER Z LALKą;0;0;PLN;2.69; PLN;2.67;PLN;3.28;PLN;-0,74%;1;A
637;25233;Telefon;0;0;PLN;9.2; PLN;11.2;PLN;13.78;PLN;21,74%;0;A
638;00005;TARCZA Z RZUTKAMI /7839828/                     398286;0;0;PLN;2.45; PLN;3.34;PLN;4.11;PLN;36,33%;0;A
639;05157;Tarcza rzutki magnetyczne 301397;0;0;PLN;5.4; PLN;7.29;PLN;8.97;PLN;35,00%;0;A
640;11879;Tamburino 340138;14;50.54;PLN;3.61; PLN;4.81;PLN;5.92;PLN;33,24%;0;D
641;02473;TACZKA /HEM/                                    005371;0;0;PLN;18.6; PLN;24.21;PLN;29.78;PLN;30,16%;9;A
642;15651;Taczka;0;0;PLN;21; PLN;27.3;PLN;33.58;PLN;30,00%;;A
643;05035;Taczka;0;0;PLN;18.6; PLN;25.11;PLN;30.89;PLN;35,00%;4;A
644;15042;Taczka;10;210;PLN;21; PLN;26.25;PLN;32.29;PLN;25,00%;4;A
645;00712;Tabliczka mnożenia - uczę się w mig 301492;6;57.6;PLN;9.6; PLN;12.77;PLN;15.71;PLN;33,02%;0;A
646;03043;TABLICA ZNIKOPIS Z MISIEM /346166/              461665;0;0;PLN;3.6; PLN;4.88;PLN;6;PLN;35,56%;9;A
647;02202;TABLICA ZNIKOPIS SŁOŃ /220031/                  200319;0;0;PLN;5.28; PLN;7.57;PLN;9.31;PLN;43,37%;7A;A
648;00881;Tablica znikopis 003984;0;0;PLN;0.9; PLN;1.4;PLN;1.72;PLN;55,56%;8;A
649;05116;Tablica znikopis 969495;0;0;PLN;3.53; PLN;5.33;PLN;6.55;PLN;50,99%;0;A
650;01770;Tablica znikopis 877745;19;80.94;PLN;4.26; PLN;6.05;PLN;7.44;PLN;42,02%;8A;D
651;03242;TABLICA STOJĄCA  /M-T/ B.RAMKI                  850006;0;0;PLN;9.5; PLN;15.06;PLN;18.52;PLN;58,53%;0;A
652;04392;TABLICA MULTIMUZYCZNA  070301;0;0;PLN;9.9; PLN;14.06;PLN;17.29;PLN;42,02%;0;A
653;01877;Tablica magnetyczna z literkami 403057;20;119.8;PLN;5.99; PLN;8.51;PLN;10.47;PLN;42,07%;2A;D
654;03112;Tablica magnetyczna /122387/;13;91;PLN;7; PLN;10.01;PLN;12.31;PLN;43,00%;5A;A
655;05106;Tablica magnetyczna   304886/877738/;0;0;PLN;4.07; PLN;6.24;PLN;7.68;PLN;53,32%;0;A
656;02241;Tablica Dobrego Zachowania 300303;7;49.84;PLN;7.12; PLN;9.47;PLN;11.65;PLN;33,01%;0;D
657;00654;Tablica dobrego zachowania - biała 301676;1;0.01;PLN;0.01; PLN;8.8;PLN;10.83;PLN;87900,00%;0;D
658;33243;Tablica do pisania-Ekologic;1;14;PLN;14; PLN;18.2;PLN;22.39;PLN;30,00%;0;A
659;03389;Tablica do kosza 410487;21;123.69;PLN;5.89; PLN;8.41;PLN;10.35;PLN;42,78%;8C;D
660;02013;Tablet zabawka /808704/;0;0;PLN;7.8; PLN;11.7;PLN;14.39;PLN;50,00%;0;A
661;74481;Tablet edukacyjny QC1059PL 423226;28;280;PLN;10; PLN;13.33;PLN;16.4;PLN;33,30%;9A;A
662;00143;Tablet Edukacyjny 310429;0;0;PLN;15.8; PLN;22.44;PLN;27.6;PLN;42,03%;0;D
663;05585;Świecący tor wyścigowy 966085;7;120.96;PLN;17.28; PLN;24.38;PLN;29.99;PLN;41,09%;8B;A
664;01522;Świecące okulary mix /display 80szt/ 205260;0;0;PLN;1.82; PLN;2.58;PLN;3.17;PLN;41,76%;1D;D
665;00106;Świecące naszyjniki, w.box 12szt z bateriami /397386/;6;24.06;PLN;4.01; PLN;5.81;PLN;7.15;PLN;44,89%;0;A
666;00202;Świecące bransoletka mix /display 80szt/205253;159;289.38;PLN;1.82; PLN;2.58;PLN;3.17;PLN;41,76%;1G;D
667;04422;Świderek plastikowy 12szt 808155;2;3.78;PLN;1.89; PLN;2.36;PLN;2.9;PLN;24,87%;8A;A
668;04424;Świderek plastikowy /12szt/808100;84;64.68;PLN;0.77; PLN;1.14;PLN;1.4;PLN;48,05%;1B;A
669;05139;Świderek plastikowy / 12 szt. w op./ 871170;96;131.52;PLN;0.86; PLN;1.63;PLN;2;PLN;89,53%;8A;A
670;04423;Świderek plastikowy  /12szt/ 806892, 871170;0;0;PLN;1.31; PLN;1.94;PLN;2.39;PLN;48,09%;0;A
671;04119;Świderek 983729;278;408.66;PLN;1.47; PLN;2.15;PLN;2.65;PLN;46,26%;5C;D
672;04899;Świderek 983712;0;0;PLN;0.86; PLN;1.5;PLN;1.85;PLN;74,42%;9A;A
673;00744;ŚMIGUSÓWKA ŻABKA  /OP.25SZT./;0;0;PLN;0.37; PLN;0.53;PLN;0.65;PLN;43,24%;1;A
674;70746;Śmigusówka Rybka 11cm /OP.25SZT./;0;0;PLN;0.37; PLN;0.48;PLN;0.59;PLN;29,73%;4;A
675;70743;Śmigusówka Jajko Max 11cm /OP.25SZT/;75;42.75;PLN;0.57; PLN;0.72;PLN;0.89;PLN;26,32%;4;A
676;00741;ŚMIGUSÓWKA JAJKO MAŁE  /OP.25SZT./;0;0;PLN;0.27; PLN;0.35;PLN;0.43;PLN;29,63%;1;A
677;70742;Śmigusówka Jajko Duże 9cm /OP.25SZT/;0;0;PLN;0.37; PLN;0.48;PLN;0.59;PLN;29,73%;4;A
678;00171;ŚMIGUSOWKA SŁONIK  /OPK.25SZT/;0;0;PLN;0.47; PLN;0.61;PLN;0.75;PLN;29,79%;1;A
679;01761;Śmigłowiec ze światłem i dźwiękiem 309935;15;166.26;PLN;10.99; PLN;16.18;PLN;19.9;PLN;47,22%;5A;D
680;71274;"Śmigłowiec wojskowy ""Alfa"" (w pudełku) (PL) 068750";5;47.05;PLN;9.41; PLN;12.42;PLN;15.28;PLN;31,99%;0;A
681;71270;"Śmigłowiec strażacki ""Alfa"" (w pudełku) 068651";3;28.23;PLN;9.41; PLN;12.42;PLN;15.28;PLN;31,99%;0;A
682;71271;"Śmigłowiec ratowniczy ""Alfa"" (w pudełku) 068668";8;67.76;PLN;8.47; PLN;12.42;PLN;15.28;PLN;46,64%;8C;A
683;71272;"Śmigłowiec policyjny ""Alfa"" (w pudełku) (PL) 068705";7;59.29;PLN;8.47; PLN;12.42;PLN;15.28;PLN;46,64%;8C;A
684;02569;ŚMIGŁO ZE ŚWIATŁEM /Q1268/ BLISTER              101436;0;0;PLN;3.15; PLN;4.48;PLN;5.51;PLN;42,22%;5;A
685;00465;Śmieciarka, światło, dźwięk /394521/;0;0;PLN;34.1; PLN;46.04;PLN;56.63;PLN;35,01%;0;A
686;04499;Śmieciarka 993172,  236654;4;20.4;PLN;5.1; PLN;7.24;PLN;8.9;PLN;41,96%;8A;A
687;15652;Śmieciarka;2;50;PLN;25; PLN;32.5;PLN;39.98;PLN;30,00%;;A
688;00221;Szybkie Auta Metal RC /display 4szt/300650;0;0;PLN;8.5; PLN;12.07;PLN;14.85;PLN;42,00%;0;A
689;05530;Sznurki do wózka, 4wz 201408;0;0;PLN;4.61; PLN;6.49;PLN;7.98;PLN;40,78%;0;A
690;01902;Sznurki do wózka , 4 wz. /033566/;0;0;PLN;4.07; PLN;5.9;PLN;7.26;PLN;44,96%;0;A
691;01904;Sznur do wózka 814736;30;158.4;PLN;5.28; PLN;7.6;PLN;9.35;PLN;43,94%;2C;A
692;01606;Szkicownik Psi Patrol 083759;14;56;PLN;4; PLN;5.32;PLN;6.54;PLN;33,00%;0;D
693;05282;Szczęka nakręcana /12szt display/127603, 144747;0;0;PLN;2.28; PLN;3.24;PLN;3.99;PLN;42,11%;0;A
694;01310;SZALONA KULA B/O.W PUDEŁKU /MPI18470/184709;7;27.44;PLN;3.92; PLN;6.31;PLN;7.76;PLN;60,97%;7C;A
695;01308;SZALONA KULA B/O.W FOLII  /L318/          40357,096394;0;0;PLN;3.23; PLN;4.48;PLN;5.51;PLN;38,70%;0;A
696;00211;Szachy małe 301614;0;0;PLN;0.01; PLN;12.2;PLN;15;PLN;121900,00%;3;D
697;01148;SZACHY DREWNO  /Q1550/                          108169;0;0;PLN;5.14; PLN;7.49;PLN;9.21;PLN;45,72%;0;A
698;01735;Szachy + Warcaby 2 w 1   J. Polski   /814293/;3;24.72;PLN;8.24; PLN;11.7;PLN;14.39;PLN;41,99%;0;A
699;X4461;SZACHY                                          417067;0;0;PLN;4.02; PLN;5.43;PLN;6.68;PLN;35,07%;9;A
700;14526;sygnałowy pistolet;0;0;PLN;5.19; PLN;6.75;PLN;8.3;PLN;30,06%;1;A
701;72544;Sygnałowy pistolet świecący rf223-1;0;0;PLN;7.14; PLN;9.42;PLN;11.59;PLN;31,93%;9E;A
702;73329;Sygnałowy Pistolet podnóżek LX7811 /70cm/ 281238;0;0;PLN;9.66; PLN;12.88;PLN;15.84;PLN;33,33%;0;D
703;70765;Sygnałowy pistolet LX7322;12;140.88;PLN;11.74; PLN;15.93;PLN;19.6;PLN;35,69%;9D;D
704;72543;Sygnałowy pistolet LX6511;72;658.08;PLN;9.14; PLN;12.52;PLN;15.4;PLN;36,98%;1A;A
705;72541;Sygnałowy pistolet LX3688;8;78;PLN;9.75; PLN;13;PLN;15.99;PLN;33,33%;1A;A
706;71764;Sygnałowy pistolet 585;0;0;PLN;4.88; PLN;6.78;PLN;8.34;PLN;38,93%;1A;D
707;70993;Sygnałowy pistolet 2057-1B;0;0;PLN;8.29; PLN;11.1;PLN;13.65;PLN;33,90%;1A;D
708;72540;Sygnałowy pistolet 20103-1;0;0;PLN;7.8; PLN;10.3;PLN;12.67;PLN;32,05%;1;A
709;72542;Sygnałowy pistolet 140-1;36;187.2;PLN;5.2; PLN;7.03;PLN;8.65;PLN;35,19%;9K;A
710;70906;Sygnałowy pistolet 1208-2A 724613;43;326.37;PLN;7.59; PLN;10.08;PLN;12.4;PLN;32,81%;9D;D
711;75514;Sygnałowy pistolet 961148;0;0;PLN;6.09; PLN;8.12;PLN;9.99;PLN;33,33%;0;A
712;75513;Sygnałowy pistolet 958605;168;715.68;PLN;4.26; PLN;5.92;PLN;7.28;PLN;38,97%;1E;A
713;75518;Sygnałowy pistolet 653661;0;0;PLN;10.36; PLN;13.74;PLN;16.9;PLN;32,63%;1F;A
714;75516;Sygnałowy pistolet 595955;14;145.04;PLN;10.36; PLN;13.81;PLN;16.99;PLN;33,30%;1A;A
715;75517;Sygnałowy pistolet 588636;0;0;PLN;9.75; PLN;13;PLN;15.99;PLN;33,33%;1F;A
716;75519;Sygnałowy pistolet 311233;0;0;PLN;9.51; PLN;12.93;PLN;15.9;PLN;35,96%;1A;A
717;75515;Sygnałowy pistolet 00568331;1;6.09;PLN;6.09; PLN;8.1;PLN;9.96;PLN;33,00%;0;A
718;34238;SYGNAłOWY PISTOLET;0;0;PLN;7; PLN;9.56;PLN;11.76;PLN;36,57%;8;A
719;02792;SUSZARKA NA BATERIE +AKC. /118275/ TORBA  18278,182753;0;0;PLN;6.4; PLN;8.67;PLN;10.66;PLN;35,47%;9;A
720;05164;Superbohaterowie /display 6szt/ 300100;22;170.28;PLN;7.74; PLN;10.97;PLN;13.49;PLN;41,73%;0;A
721;04348;SUKIENKA DLA LALKI;0;0;PLN;7; PLN;9.33;PLN;11.48;PLN;33,29%;0;A
722;02559;STRZELBA Z LUNETA NA STRZAŁKI /381962/ BC       819626;0;0;PLN;4.17; PLN;5.94;PLN;7.31;PLN;42,45%;0;A
723;05169;Strzelba 993905;0;0;PLN;4.7; PLN;6.74;PLN;8.29;PLN;43,40%;8;A
724;05052;Strzelba;0;0;PLN;4.6; PLN;6.21;PLN;7.64;PLN;35,00%;8;A
725;00334;STRÓJ POLICJANTA  /004025/                      615042;0;0;PLN;5.74; PLN;7.57;PLN;9.31;PLN;31,88%;0;A
726;01174;Strażak Sam Skuter  007029;0;0;PLN;38.17; PLN;52.67;PLN;64.78;PLN;37,99%;0;A
727;01114;Strażak sam;0;0;PLN;21.17; PLN;29.85;PLN;36.72;PLN;41,00%;1;A
728;04561;Straż pożarna metal 014058;0;0;PLN;4; PLN;5.68;PLN;6.99;PLN;42,00%;0;A
729;34213;Straż pożarna 300064;0;0;PLN;13; PLN;15.85;PLN;19.5;PLN;21,92%;4;A
730;04508;STRAŻ POŻARNA  / 8797473/;0;0;PLN;11.28; PLN;15.24;PLN;18.75;PLN;35,11%;0;A
731;15650;Straż Pożarna;1;26;PLN;26; PLN;33.8;PLN;41.57;PLN;30,00%;;A
732;72301;Straż na baterie B938A 747569;2;24.88;PLN;12.44; PLN;16.18;PLN;19.9;PLN;30,06%;0;A
733;05597;Stół+krzesła 145553;0;0;PLN;4.71; PLN;6.74;PLN;8.29;PLN;43,10%;0;A
734;05293;Stół + krzesła /075874/;0;0;PLN;5.65; PLN;7.85;PLN;9.66;PLN;38,94%;0;A
735;05560;Stolik z krzesłami 756623;0;0;PLN;4.89; PLN;6.94;PLN;8.54;PLN;41,92%;0;A
736;05276;Stemple/127634/;0;0;PLN;1.64; PLN;2.28;PLN;2.8;PLN;39,02%;0;A
737;01276;Stemple roller 127641;15;44.25;PLN;2.95; PLN;4.19;PLN;5.15;PLN;42,03%;8C;A
738;01632;Stemple 6 sztuk 134991;9;20.25;PLN;2.25; PLN;3.2;PLN;3.94;PLN;42,22%;0;D
739;04110;Stemple 135615;0;0;PLN;1.9; PLN;2.72;PLN;3.35;PLN;43,16%;0;A
740;04109;Stemple 135608;0;0;PLN;2.04; PLN;2.92;PLN;3.59;PLN;43,14%;0;A
741;04108;Stemple 135592;0;0;PLN;2.7; PLN;3.86;PLN;4.75;PLN;42,96%;7R;A
742;02169;Stemple 127658;2;6.8;PLN;3.4; PLN;4.85;PLN;5.97;PLN;42,65%;0;D
743;05284;Stemple 127627;1;1.68;PLN;1.68; PLN;2.4;PLN;2.95;PLN;42,86%;0;A
744;04117;Stemple 081493;0;0;PLN;7.96; PLN;10.37;PLN;12.75;PLN;30,28%;0;A
745;02166;Stempelki 145546;5;13.55;PLN;2.71; PLN;3.89;PLN;4.79;PLN;43,54%;0;D
746;01050;STATEK PIRATÓW NO.12602 /G057134/               960089;0;0;PLN;8.64; PLN;12.01;PLN;14.77;PLN;39,00%;0;A
747;02758;Statek piracki 598462;8;136.16;PLN;17.02; PLN;24.14;PLN;29.69;PLN;41,83%;8C;D
748;00923;Statek na baterie 939061;13;72.8;PLN;5.6; PLN;7.95;PLN;9.78;PLN;41,96%;7C;D
749;75229;Spychacz 00455686;0;0;PLN;12.84; PLN;16.71;PLN;20.55;PLN;30,14%;9K;A
750;01195;Sprzątanko Gra 3D 301195;3;46.08;PLN;15.36; PLN;20.43;PLN;25.13;PLN;33,01%;0;A
751;01964;SPRZĄTACZKA ZESTAW WKSZ.W WORKU /027681/        616353;0;0;PLN;10.81; PLN;14.57;PLN;17.92;PLN;34,78%;8;A
752;04464;Sprężyna ze światłem 393210, 982760;0;0;PLN;1.06; PLN;1.54;PLN;1.89;PLN;45,28%;0;A
753;00811;SPRĘŻYNA Z GWIAZDKAMI 6,5CM 56784,926658;252;282.24;PLN;1.12; PLN;1.62;PLN;1.99;PLN;44,64%;1B;A
754;72931;Sprężyna uśmiech F1088-2 955337;187;192.61;PLN;1.03; PLN;1.37;PLN;1.69;PLN;33,01%;8C;D
755;00739;Sprężyna tęczowa gwiazdka 245639;340;329.8;PLN;0.97; PLN;1.38;PLN;1.7;PLN;42,27%;7C;D
756;00812;SPRĘŻYNA TĘCZOWA 8CM 42026,447514,398772,475197;45;49.05;PLN;1.09; PLN;1.67;PLN;2.05;PLN;53,21%;5B;A
757;05151;Sprężyna tęczowa 808650;0;0;PLN;1.23; PLN;1.66;PLN;2.04;PLN;34,96%;9;A
758;00151;Sprężyna tęczowa 966535;464;417.6;PLN;0.9; PLN;1.29;PLN;1.59;PLN;43,33%;9F;D
759;01700;Sprężyna tęczowa 370515;97;122.22;PLN;1.26; PLN;1.79;PLN;2.2;PLN;42,06%;9C;D
760;34236;SPRężYNA PLASTIKOWA;0;0;PLN;1; PLN;1.55;PLN;1.91;PLN;55,00%;1;A
761;02304;Sprężyna jednorożec 7,5cm 311266;3;5.55;PLN;1.85; PLN;2.63;PLN;3.23;PLN;42,16%;0;D
762;02989;Sprężyna 8 cm967587;244;307.32;PLN;1.27; PLN;1.78;PLN;2.19;PLN;40,16%;9D;D
763;01647;Sprężyna 976882;0;0;PLN;0.97; PLN;1.42;PLN;1.75;PLN;46,39%;1B;A
764;01363;Sprężyna 136513;0;0;PLN;0.93; PLN;1.37;PLN;1.69;PLN;47,31%;0;A
765;05177;Spłonka x 72;485;194;PLN;0.4; PLN;0.57;PLN;0.7;PLN;42,50%;2;A
766;11376;Spłonka Toys /60 szt. w op./815320;0;0;PLN;0.41; PLN;0.55;PLN;0.68;PLN;34,15%;2A;D
767;03333;SPŁONKA POJEDYNCZA /CAP121/               262520;0;0;PLN;0.55; PLN;0.69;PLN;0.85;PLN;25,45%;2D;A
768;00825;Spiner /969567/968744/;0;0;PLN;0.01; PLN;2.4;PLN;2.95;PLN;23900,00%;1;A
769;15129;Spiner;0;0;PLN;6; PLN;8;PLN;9.84;PLN;33,33%;0;A
770;15128;Spiner;0;0;PLN;5.2; PLN;7.5;PLN;9.23;PLN;44,23%;0;A
771;05127;Spiner;0;0;PLN;4.8; PLN;6.02;PLN;7.4;PLN;25,42%;0;A
772;05122;Spiner;0;0;PLN;4.8; PLN;2.4;PLN;2.95;PLN;-50,00%;0;A
773;05288;Sorter dla malucha123872, 127283;1;5.23;PLN;5.23; PLN;7.48;PLN;9.2;PLN;43,02%;0;A
774;75500;Słoń Staś różowy niebieski 26 cm 047298;0;0;PLN;9.57; PLN;13.31;PLN;16.37;PLN;39,08%;;A
775;00001;SŁOŃ DO ROZKRĘCANIA W WORKU /870043/700431;4;12.64;PLN;3.16; PLN;4.31;PLN;5.3;PLN;36,39%;0;A
776;05286;Słonik na baterie 126996;2;17.28;PLN;8.64; PLN;12.43;PLN;15.29;PLN;43,87%;2C;A
777;02392;Slimy Miśki /display 12szt/967488;144;146.88;PLN;1.02; PLN;1.52;PLN;1.87;PLN;49,02%;1A;D
778;02028;Slimy Dino /display 12szt/967679;150;232.5;PLN;1.55; PLN;2.2;PLN;2.71;PLN;41,94%;1A;D
779;02390;Slimy Buźki /display 12szt/967372;199;181.09;PLN;0.91; PLN;1.35;PLN;1.66;PLN;48,35%;1A;D
780;02219;Slime Owocowy Bańki /display 8szt/ 311136;24;33.36;PLN;1.39; PLN;1.97;PLN;2.42;PLN;41,73%;8C;D
781;00121;SKRZYDŁA ANIOŁA+RÓŻDŻKA,KORONA /ZR3374/         074738;25;243.25;PLN;9.73; PLN;12.2;PLN;15;PLN;25,39%;1;A
782;03357;SKRZYDŁA ANIOŁA  /ZRN11077/                     051348;0;0;PLN;5.29; PLN;6.11;PLN;7.51;PLN;15,50%;0;A
783;01136;Skojarzenia Pamięć /003284/;0;0;PLN;11.5; PLN;15.55;PLN;19.13;PLN;35,22%;0;A
784;10455;SKARBONKA ŚWINKA /10 szt. w op./;54;81;PLN;1.5; PLN;1.95;PLN;2.4;PLN;30,00%;2;D
785;04457;SKAKANKA Z LICZNIKIEM                           830635;7;16.1;PLN;2.3; PLN;3.09;PLN;3.8;PLN;34,35%;8A;A
786;05132;Skakanka sznurkowa 101474;2;1.8;PLN;0.9; PLN;1.22;PLN;1.5;PLN;35,56%;0;A
787;10102;Skakanka kolorowa 009890;1;1.2;PLN;1.2; PLN;1.59;PLN;1.95;PLN;32,50%;0;D
788;04544;Skakanka ;0;0;PLN;2.63; PLN;2.63;PLN;3.23;PLN;0,00%;0;A
789;15036;Skaczący pająk czarny /10szt w op/;292;744.6;PLN;2.55; PLN;3.5;PLN;4.31;PLN;37,25%;4;A
790;02353;Siatka do piłki X25;0;0;PLN;0.24; PLN;0.37;PLN;0.45;PLN;54,17%;0;A
791;70702;Saszetka 11309-1 130912;23;149.5;PLN;6.5; PLN;8.66;PLN;10.65;PLN;33,23%;1G;D
792;03719;SANKI-ŁOPATA  /ST/;5;16.65;PLN;3.33; PLN;4.56;PLN;5.61;PLN;36,94%;0;A
793;00495;SAMOLOTY STYROPIANOWE  X12SZT./MPE35797Y/       357974;0;0;PLN;0.35; PLN;0.53;PLN;0.65;PLN;51,43%;5;A
794;00693;SAMOLOT STYROPIANOWY W FOLII  09553335 szt. w pudełku;25;16.25;PLN;0.65; PLN;0.89;PLN;1.09;PLN;36,92%;0;A
795;02210;Samolot styropianowy 3 kol, USB 311228;20;244;PLN;12.2; PLN;17.32;PLN;21.3;PLN;41,97%;8C;D
796;02235;Samolot Styropian 009087;88;358.16;PLN;4.07; PLN;6.5;PLN;8;PLN;59,71%;9C;D
797;05118;Samolot na baterie 215184;0;0;PLN;11.99; PLN;16.19;PLN;19.91;PLN;35,03%;0;A
798;05287;Samolot na baterie  /125944/;0;0;PLN;8.51; PLN;11.83;PLN;14.55;PLN;39,01%;0;A
799;04405;SAMOLOT NA BATERIE                             871569;0;0;PLN;10.07; PLN;13.63;PLN;16.77;PLN;35,35%;0;A
800;01630;SAMOLOT NA BATERIE-PODWIESZANY /MPB80650/       806502;0;0;PLN;2.47; PLN;3.54;PLN;4.35;PLN;43,32%;0;A
801;05025;Samolot na baterie;0;0;PLN;7.8; PLN;10.53;PLN;12.95;PLN;35,00%;4;A
802;01024;Samolot 43cm .św/dźw. w worku  /248171/          481718;0;0;PLN;5.14; PLN;7.14;PLN;8.78;PLN;38,91%;0;A
803;925;SAMOLOT 22CM. NACIĄG  /ZM129/ HO209/10    61217,802090;0;0;PLN;1.6; PLN;2.16;PLN;2.66;PLN;35,00%;0;D
804;03010;Samolot 959321;729;371.79;PLN;0.51; PLN;0.8;PLN;0.98;PLN;56,86%;5R;A
805;03381;Samochód ze światłem i dźwiękiem 123753;24;213.84;PLN;8.91; PLN;12.76;PLN;15.69;PLN;43,21%;8C;A
806;04022;Samochód ze światłem i dźwiękiem   /015973/;8;128.08;PLN;16.01; PLN;21.61;PLN;26.58;PLN;34,98%;8C;A
807;34193;SAMOCHÓD ZABAWKA  /0640/;41;41;PLN;1; PLN;2.04;PLN;2.51;PLN;104,00%;0;D
808;02456;Samochód z otwieranymi drzwiami /disp. 12 szt./ 202313;3;20.64;PLN;6.88; PLN;9.75;PLN;11.99;PLN;41,72%;0;A
809;02323;Samochód wyścigowy 300711;9;34.83;PLN;3.87; PLN;7.24;PLN;8.9;PLN;87,08%;2B;D
810;02598;Samochód terenowy r/c,ff, ładowarka /SA6144R/394804/;0;0;PLN;29.07; PLN;39.24;PLN;48.27;PLN;34,98%;7;A
811;770;SAMOCHÓD STRAŻ POŻARNA  /HEM/                   000956;0;0;PLN;16.74; PLN;21.78;PLN;26.79;PLN;30,11%;0;D
812;01939;Samochód sportowy r/c, ff 397294;0;0;PLN;12.97; PLN;18.45;PLN;22.69;PLN;42,25%;0;D
813;02851;Samochód sportowy r/c , ff 397836;1;12.91;PLN;12.91; PLN;18.37;PLN;22.59;PLN;42,29%;0;D
814;03154;Samochód przewrotka 776676;5;19.25;PLN;3.85; PLN;5.57;PLN;6.85;PLN;44,68%;7A;A
815;02517;Samochód policja na baterie 867053;0;0;PLN;6.97; PLN;9.9;PLN;12.18;PLN;42,04%;1F;A
816;05197;Samochód pod kloszem, św, dzw 392121;0;0;PLN;18.59; PLN;25.1;PLN;30.87;PLN;35,02%;0;A
817;01976;Samochód pod kloszem 200487;0;0;PLN;5.1; PLN;7.31;PLN;8.99;PLN;43,33%;1B;D
818;71386;Samochód osobowy z przyczepą (w siatce) 053688;6;64.38;PLN;11.1; PLN;14.65;PLN;18.02;PLN;31,98%;0;D
819;71385;Samochód osobowy (w siatce) 053671;1;7.53;PLN;7.53; PLN;11.04;PLN;13.58;PLN;46,61%;0;D
820;05367;Samochód na baterie /810790/ MPE81079X;0;0;PLN;6.88; PLN;9.63;PLN;11.84;PLN;39,97%;0;A
821;00215;Samochód Metalowy /display 24szt/ 842890;42;86.1;PLN;2.05; PLN;2.95;PLN;3.63;PLN;43,90%;0;D
822;04145;Samochód laweta 8953145 ;0;0;PLN;4.54; PLN;6.49;PLN;7.98;PLN;42,95%;0;D
823;04134;Samochód laweta 822731;0;0;PLN;6.38; PLN;9.23;PLN;11.35;PLN;44,67%;0;A
